len(train_data) 70484
len(valid_data) 7832
len(test_data) 33541
len(vocab) 240055
Train started!
##############################
=================================
******************************
loss 5.96  [learning] epoch 0>> 1.86% completed in 14.48 (sec) <<
loss 5.30  [learning] epoch 0>> 1.88% completed in 14.63 (sec) <<
loss 6.58  [learning] epoch 0>> 1.91% completed in 14.84 (sec) <<
loss 6.04  [learning] epoch 0>> 1.93% completed in 15.02 (sec) <<
loss 4.87  [learning] epoch 0>> 1.95% completed in 15.22 (sec) <<
loss 5.69  [learning] epoch 0>> 1.97% completed in 15.33 (sec) <<
loss 4.94  [learning] epoch 0>> 2.00% completed in 15.50 (sec) <<
loss 6.65  [learning] epoch 0>> 2.02% completed in 15.65 (sec) <<
loss 5.24  [learning] epoch 0>> 2.04% completed in 15.78 (sec) <<
loss 5.43  [learning] epoch 0>> 2.07% completed in 15.89 (sec) <<
loss 5.75  [learning] epoch 0>> 2.09% completed in 16.00 (sec) <<
loss 5.81  [learning] epoch 0>> 2.11% completed in 16.12 (sec) <<
loss 5.75  [learning] epoch 0>> 2.13% completed in 16.28 (sec) <<
loss 6.59  [learning] epoch 0>> 2.16% completed in 16.41 (sec) <<
loss 5.98  [learning] epoch 0>> 2.18% completed in 16.55 (sec) <<
loss 6.25  [learning] epoch 0>> 2.20% completed in 16.72 (sec) <<
loss 5.81  [learning] epoch 0>> 2.22% completed in 16.86 (sec) <<
loss 6.55  [learning] epoch 0>> 2.25% completed in 16.99 (sec) <<
loss 5.63  [learning] epoch 0>> 2.27% completed in 17.16 (sec) <<
loss 5.82  [learning] epoch 0>> 2.29% completed in 17.30 (sec) <<
loss 6.50  [learning] epoch 0>> 2.32% completed in 17.45 (sec) <<
loss 5.84  [learning] epoch 0>> 2.34% completed in 17.59 (sec) <<
loss 5.67  [learning] epoch 0>> 2.36% completed in 17.72 (sec) <<
loss 5.33  [learning] epoch 0>> 2.38% completed in 17.79 (sec) <<
loss 5.53  [learning] epoch 0>> 2.41% completed in 17.99 (sec) <<
loss 4.89  [learning] epoch 0>> 2.43% completed in 18.10 (sec) <<
loss 5.23  [learning] epoch 0>> 2.45% completed in 18.22 (sec) <<
loss 6.29  [learning] epoch 0>> 2.47% completed in 18.35 (sec) <<
loss 7.15  [learning] epoch 0>> 2.50% completed in 18.46 (sec) <<
loss 6.15  [learning] epoch 0>> 2.52% completed in 18.56 (sec) <<
loss 5.50  [learning] epoch 0>> 2.54% completed in 18.67 (sec) <<
loss 5.81  [learning] epoch 0>> 2.57% completed in 18.84 (sec) <<
loss 4.69  [learning] epoch 0>> 2.59% completed in 18.96 (sec) <<
loss 5.22  [learning] epoch 0>> 2.61% completed in 19.11 (sec) <<
loss 5.17  [learning] epoch 0>> 2.63% completed in 19.23 (sec) <<
loss 6.73  [learning] epoch 0>> 2.66% completed in 19.42 (sec) <<
loss 4.60  [learning] epoch 0>> 2.68% completed in 19.62 (sec) <<
loss 4.94  [learning] epoch 0>> 2.70% completed in 19.77 (sec) <<
loss 5.23  [learning] epoch 0>> 2.72% completed in 19.91 (sec) <<
loss 5.88  [learning] epoch 0>> 2.75% completed in 20.03 (sec) <<
loss 4.32  [learning] epoch 0>> 2.77% completed in 20.13 (sec) <<
loss 5.44  [learning] epoch 0>> 2.79% completed in 20.27 (sec) <<
loss 5.80  [learning] epoch 0>> 2.81% completed in 20.43 (sec) <<
loss 5.72  [learning] epoch 0>> 2.84% completed in 20.59 (sec) <<
loss 5.94  [learning] epoch 0>> 2.86% completed in 20.72 (sec) <<
loss 6.43  [learning] epoch 0>> 2.88% completed in 20.83 (sec) <<
loss 5.45  [learning] epoch 0>> 2.91% completed in 20.92 (sec) <<
loss 4.45  [learning] epoch 0>> 2.93% completed in 21.00 (sec) <<
loss 4.57  [learning] epoch 0>> 2.95% completed in 21.13 (sec) <<
loss 5.18  [learning] epoch 0>> 2.97% completed in 21.27 (sec) <<
loss 5.29  [learning] epoch 0>> 3.00% completed in 21.43 (sec) <<
loss 5.34  [learning] epoch 0>> 3.02% completed in 21.58 (sec) <<
